Source Account,Description,Identifier,Base Current Units,Base Market Value
337133958,XTRACKERS MSCI EURPE HDGD EQY ETF,233051853,636.00,17464.56
337133958,ISHARES MSCI PACIFIC EX JAPAN ETF,464286665,127.00,5899.15
337133958,ISHARES CHINA LARGE CAP ETF,464287184,510.00,23811.90
337133958,ISHARES IBOXX INVT GRADE BOND ETF,464287242,1793.00,210175.46
337133958,ISHARES S&P 500 GROWTH ETF,464287309,172.00,26598.08
337133958,ISHARES RUSSELL 1000 GROWTH ETF,464287614,429.00,58301.10
337133958,ISHARES RUSSELL 2000 GROWTH ETF,464287648,87.00,15957.54
337133958,ISHARES S&P SMLL CAP 600 GRTH ETF,464287887,44.00,7355.92
337133958,ISHARES MSCI ALL COUNT ASA EX JP ETF,464288182,127.00,9565.64
337133958,ISHARES MSCI EAFE SMALL CAP ETF,464288273,943.00,60323.71
337133958,ISHARES JPMORGAN USD MTS BOND ETF,464288281,340.00,38093.60
337133958,ISHARES MBS ETF,464288588,170.00,17727.60
337133958,ISHARES US CREDIT BOND ETF,464288620,85.00,9276.90
337133958,ISHARES:3-7 TRS BD ETF,464288661,127.00,15276.83
337133958,ISHARES SHORT TREASURY BOND ETF,464288679,1153.00,127118.25
337133958,ISHARES U.S. PREFERRED STOCK ETF,464288687,2175.00,80344.50
337133958,ISHARES SILVER TRUST ETF,46428Q109,125.00,1946.25
337133958,ISHARES FLOATING RATE BOND ETF,46429B655,468.00,23858.64
337133958,ISHARES MSCI CHINA ETF,46429B671,299.00,20030.01
337133958,PIMCO 1-5 YEAR US TIPS INDEX ETF,72201R205,43.00,2220.09
337133958,POWERSHARES DB GOLD ETF,73936B606,43.00,1800.41
337133958,POWERSHARES SENIOR LOAN ETF,73936Q769,2400.00,55512.00
337133958,POWERSHARES EMRG MKTS SOVRGN DBT ETF,73936T573,471.00,13348.14
337133958,PROSHARES:SHT MSCI EAFE,74347R370,730.00,18761.00
337133958,PROSHARES SHORT MSCI EMERGING ETF,74347R396,4498.00,80109.38
337133958,PROSHARES TRUST,74348A244,218.00,7651.80
337133958,PROSHARES ULTRASHORT RUSSEL 2000 ETF,74348A319,559.00,10235.29
337133958,SPDR S&P EMERGING MRKT SML CP ETF,78463X756,687.00,35277.45
337133958,SPDR S&P INTERNATIONAL SMALL CAP ETF,78463X871,169.00,5894.72
337133958,SPDR S&P BANK ETF,78464A797,85.00,4116.55
337133958,SPDR BLACKSTONE GSO SENIOR LOAN ETF,78467V608,381.00,18047.97
337133958,SPDR BLMBRG BRCLY 1 3 MNTH T ETF,78468R663,297.00,27163.62
337133958,SCHWAB US BROAD MARKET ETF,808524102,88.00,5629.36
337133958,SELECT STR FINANCIAL SELECT SPDR ETF,81369Y605,1287.00,36126.09
337133958,TECHNOLOGY SELECT SECTOR SPDR ETF,81369Y803,172.00,11123.24
337133958,VANECK VECTR HG YLD MCPL INDX ETF,92189F361,124.00,3831.60
337133958,VANECK VCTR J P MORGN LCL BND ETF,92189F494,1152.00,22245.12
337133958,VANGUARD SHORT-TERM BOND ETF,921937827,4658.00,365746.16
337133958,VANGUARD SHRT INF PROT SEC INDEX ETF,922020805,255.00,12377.70
337133958,VGRD FTSE ALL WRLD EX US SML CAP ETF,922042718,258.00,30240.18
337133958,VANGUARD FTSE PACIFIC ETF,922042866,126.00,9069.48
337133958,VANGUARD MORTGAGE BACKED SEC ETF,92206C771,125.00,6421.25
337133958,VANGUARD SMALL CAP GROWTH ETF,922908595,85.00,13418.95
337133958,VANGUARD TOTAL STOCK MARKET ETF,922908769,344.00,46790.88
337133958,SPDR S&P CHINA ETF,US78463X4007USD,44.00,4759.92
,,,,
,,,,
,,,,
,,* Weighted by: Base Current Units,,
,,* Holdings Displayed by: Position,,
